,Title,Location,Description
212,Senior Data Scientist,Birmingham,"Senior Data Scientists apply their skills in quantitative analysis, data mining, machine learning and data presentation (storytelling) to see beyond the numbers…"
213,Machine Learning Engineer,Didcot,"Research and development - Proposal preparation and technical writing.PhD or MSc in Computer Science or related field.Docker, CI/CD, automated testing, git."
214,"Data Science Director, Community Integrity",London,"Inspire, lead and grow 25+ data scientists across multiple teams.The data science team partners as fellow product leads with product managers, software…"
215,Senior Data Scientist (FTC - Maternity Cover),London,Managing a small team of data scientists and being responsible for their development and career.The ideal candidate should be an expert in statistical…
216,Data & Analytics Internship 2021,Fareham,Zurich Data and Analytics Summer Internship Programme.As a Data and Analytics intern you’ll gain knowledge and experience in working with a variety of complex…
217,Senior Personalisation & Customer data Scientist,Nottingham,"You will have previously worked with big data.Expertise in working with large data sets, both structured and unstructured, using a range of data mining…"
218,"Data Science, Data Engineering and Application Development O...",Derby,"We offer excellent development prospects, along with a competitive salary and exceptional benefits.These include bonus, employee support assistance and…"
219,"Consultant, Data Scientist, Ventures, Tax, London",London,"You will be responsible for applying data mining techniques, undertaking statistical analysis, deploying cutting edge machine learning tools and techniques and…"
220,Data Scientist,London,The data scientist will be working with very large data sets and will have had experience of working in a business or environment where you have worked with…
221,Pricing Data Scientist,London,"Ideally you will have experience analysing customer, transactional and/or online data.Work cross functionally with marketing, data science and finance teams to…"
222,Senior Data Scientist,London,Experience working as a data scientist in a R environment.Strong understanding of data warehousing principles and challenges presented when working with large…
223,Data Scientist,Livingston,Experience using statistical computer languages to manipulate data and draw insights from large data sets.Coordinate with different functional teams to develop…
224,"Graduate, Advanced Analytics, Digital, Audit, Manchester 202...",Manchester,"You’ll need to be on course for a 2:1 degree in any subject with an interest in data analytics, machine learning, data science, data mining & coding."
225,Machine Learning Engineer Internship,London,Knowledge of algorithm and data structure fundamentals.Experience and coursework in machine learning and data science.
226,Senior Data Scientist,London,"Proven experience in senior data science/quantitative data analysis or related areas.Be part of a cross-functional development team, providing guidance and…"
227,Machine Learning Engineer,Cambridge,"Build and maintain custom interfaces to EDA tools, testbenches and data stores.Arm is driving forwards the industry’s use of Machine Learning techniques for…"
228,Recruitment Consultant – Data Science,Reading,"They are looking for a Recruitment Consultant who has a proven background in Data Science, Data Engineering, Machine Learning to take the lead in driving growth…"
